Day(100.0%OfPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
9816 48.699999999999996 39.93000000000001 3.9900000000000007 7.430000000000001
9840 48.699999999999996 39.93000000000001 3.9900000000000007 7.430000000000001
9864 48.690000000000005 39.92 4.0 7.4399999999999995
9888 48.67000000000001 39.94 3.9900000000000007 7.449999999999999
9912 48.67000000000001 39.93 4.0 7.449999999999999
9936 48.660000000000004 39.94 4.0 7.449999999999999
9960 48.67 39.910000000000004 4.010000000000001 7.459999999999998
9984 48.67 39.88 4.039999999999999 7.459999999999998
10008 48.67 39.88 4.039999999999999 7.459999999999998
10032 48.68 39.87 4.039999999999999 7.459999999999998
10056 48.69 39.87 4.0299999999999985 7.459999999999998
10080 48.699999999999996 39.849999999999994 4.039999999999999 7.459999999999998
10104 48.69 39.849999999999994 4.0299999999999985 7.4799999999999995
10128 48.69 39.839999999999996 4.039999999999999 7.4799999999999995
10152 48.68 39.82 4.05 7.499999999999998
10176 48.67000000000001 39.83 4.039999999999999 7.509999999999999
10200 48.67000000000001 39.82 4.05 7.509999999999999
10224 48.67 39.81 4.05 7.519999999999999
10248 48.68 39.800000000000004 4.05 7.519999999999999
10272 48.69 39.800000000000004 4.0299999999999985 7.529999999999999
10296 48.69 39.77 4.059999999999999 7.529999999999999
10320 48.68 39.76 4.069999999999999 7.539999999999999
10344 48.69 39.77 4.05 7.539999999999999
10368 48.69 39.760000000000005 4.059999999999999 7.539999999999999
10392 48.69 39.760000000000005 4.039999999999999 7.559999999999999
10416 48.71 39.75000000000001 4.0299999999999985 7.559999999999999
10440 48.72 39.75000000000001 4.009999999999999 7.5699999999999985
10464 48.72 39.75000000000001 3.9899999999999993 7.59
10488 48.72 39.75000000000001 3.9899999999999993 7.59
10512 48.739999999999995 39.75000000000001 3.9699999999999993 7.59
10536 48.739999999999995 39.730000000000004 3.9899999999999993 7.59
10560 48.75 39.72 3.9899999999999993 7.59
10584 48.73 39.730000000000004 3.9999999999999996 7.59
10608 48.71999999999999 39.730000000000004 3.9999999999999996 7.599999999999999
10632 48.71 39.730000000000004 3.9999999999999996 7.6099999999999985
