Day(6.4%TBDiseaseONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
8688 51.879999999999995 38.730000000000004 3.61 5.999999999999998
8712 51.89999999999999 38.730000000000004 3.5900000000000003 5.999999999999998
8736 51.879999999999995 38.72 3.61 6.01
8760 51.849999999999994 38.75 3.6100000000000008 6.01
8784 51.849999999999994 38.74000000000001 3.61 6.020000000000001
8808 51.849999999999994 38.72000000000001 3.6199999999999997 6.03
8832 51.83 38.730000000000004 3.6199999999999997 6.040000000000001
8856 51.82 38.74000000000001 3.6199999999999997 6.040000000000001
8880 51.82 38.730000000000004 3.63 6.040000000000001
8904 51.760000000000005 38.800000000000004 3.6199999999999997 6.040000000000001
8928 51.760000000000005 38.800000000000004 3.61 6.05
8952 51.760000000000005 38.800000000000004 3.5900000000000007 6.069999999999999
8976 51.760000000000005 38.79 3.5900000000000007 6.079999999999998
9000 51.760000000000005 38.78 3.5900000000000007 6.09
9024 51.78 38.769999999999996 3.570000000000001 6.099999999999999
9048 51.77000000000002 38.78 3.570000000000001 6.099999999999999
9072 51.760000000000005 38.78 3.570000000000001 6.11
9096 51.760000000000005 38.78 3.5600000000000005 6.120000000000001
9120 51.78 38.760000000000005 3.5600000000000005 6.120000000000001
9144 51.77000000000002 38.75999999999999 3.570000000000001 6.120000000000001
9168 51.77000000000002 38.75999999999999 3.5600000000000005 6.13
9192 51.77000000000002 38.75999999999999 3.5600000000000005 6.13
9216 51.760000000000005 38.779999999999994 3.540000000000001 6.139999999999999
9240 51.769999999999996 38.779999999999994 3.520000000000001 6.15
9264 51.769999999999996 38.760000000000005 3.540000000000001 6.15
9288 51.769999999999996 38.75 3.550000000000001 6.15
9312 51.75000000000001 38.77 3.550000000000001 6.15
9336 51.75000000000001 38.77 3.550000000000001 6.15
9360 51.73 38.75 3.550000000000001 6.1899999999999995
9384 51.75000000000001 38.74 3.520000000000001 6.21
9408 51.760000000000005 38.74 3.5100000000000007 6.21
9432 51.760000000000005 38.74 3.5100000000000007 6.21
9456 51.760000000000005 38.74 3.5100000000000007 6.21
9480 51.74999999999999 38.75000000000001 3.4900000000000007 6.23
9504 51.73 38.73 3.530000000000001 6.23
9528 51.74000000000001 38.71999999999999 3.530000000000001 6.23
9552 51.71000000000001 38.74 3.530000000000001 6.239999999999999
9576 51.71000000000001 38.74 3.530000000000001 6.239999999999999
9600 51.71000000000001 38.73 3.540000000000001 6.239999999999999
9624 51.7 38.71999999999999 3.550000000000001 6.25
9648 51.71000000000001 38.71999999999999 3.540000000000001 6.25
9672 51.71000000000001 38.71999999999999 3.540000000000001 6.25
9696 51.739999999999995 38.71 3.520000000000001 6.25
9720 51.73 38.699999999999996 3.520000000000001 6.2700000000000005
9744 51.650000000000006 38.73999999999999 3.540000000000001 6.29
9768 51.650000000000006 38.71999999999999 3.5600000000000005 6.29
9792 51.650000000000006 38.709999999999994 3.5700000000000003 6.29
9816 51.650000000000006 38.68 3.5800000000000005 6.3100000000000005
9840 51.64000000000001 38.69 3.5700000000000003 6.319999999999999
9864 51.59 38.71 3.5800000000000005 6.339999999999998
9888 51.6 38.71 3.5700000000000003 6.339999999999998
9912 51.59 38.7 3.5900000000000003 6.339999999999998
9936 51.59 38.69 3.5900000000000003 6.35
9960 51.57999999999999 38.69 3.5700000000000003 6.38
9984 51.57999999999999 38.68 3.5800000000000005 6.38
10008 51.559999999999995 38.67 3.5800000000000005 6.41
10032 51.559999999999995 38.63999999999999 3.6000000000000005 6.419999999999999
10056 51.57000000000001 38.63999999999999 3.5900000000000003 6.419999999999999
10080 51.57999999999999 38.63999999999999 3.5800000000000005 6.419999999999999
10104 51.57999999999999 38.63999999999999 3.5800000000000005 6.419999999999999
10128 51.57000000000001 38.629999999999995 3.5900000000000003 6.43
10152 51.57000000000001 38.629999999999995 3.5900000000000003 6.43
10176 51.559999999999995 38.62 3.6000000000000005 6.439999999999999
10200 51.559999999999995 38.62 3.6000000000000005 6.439999999999999
10224 51.57000000000001 38.61 3.5900000000000003 6.45
