Day(35.0%TBInfectionONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
6264 30.169999999999998 56.03 6.63 7.289999999999999
6288 30.310000000000002 56.03 6.4799999999999995 7.3
6312 30.399999999999995 56.03 6.39 7.3
6336 30.460000000000004 56.010000000000005 6.35 7.3
6360 30.649999999999995 55.99999999999999 6.14 7.33
6384 30.669999999999998 55.99000000000001 6.11 7.35
6408 30.779999999999998 55.97 6.01 7.359999999999999
6432 30.900000000000006 55.97 5.880000000000001 7.369999999999999
6456 30.98 55.91 5.86 7.369999999999999
6480 31.019999999999996 55.86 5.86 7.380000000000001
6504 31.08 55.86 5.78 7.3999999999999995
6528 31.119999999999997 55.85000000000001 5.750000000000001 7.3999999999999995
6552 31.129999999999995 55.83 5.760000000000001 7.3999999999999995
6576 31.169999999999998 55.83 5.710000000000001 7.409999999999998
6600 31.27000000000001 55.81 5.619999999999999 7.42
6624 31.320000000000004 55.81 5.550000000000001 7.4399999999999995
6648 31.36 55.81 5.499999999999999 7.449999999999998
6672 31.399999999999995 55.800000000000004 5.46 7.46
6696 31.41999999999999 55.779999999999994 5.449999999999999 7.470000000000001
6720 31.45 55.76 5.44 7.470000000000001
6744 31.460000000000004 55.74000000000001 5.43 7.489999999999999
6768 31.5 55.669999999999995 5.46 7.489999999999999
6792 31.529999999999998 55.65 5.44 7.499999999999998
6816 31.550000000000004 55.65 5.4 7.5200000000000005
6840 31.560000000000006 55.63 5.3999999999999995 7.53
6864 31.540000000000003 55.66 5.389999999999999 7.53
6888 31.540000000000003 55.61999999999999 5.419999999999999 7.539999999999999
6912 31.600000000000005 55.580000000000005 5.369999999999999 7.57
6936 31.630000000000003 55.57 5.35 7.57
6960 31.660000000000004 55.55 5.3100000000000005 7.6
6984 31.700000000000006 55.53 5.28 7.6099999999999985
7008 31.710000000000004 55.51999999999999 5.28 7.6099999999999985
7032 31.71 55.50999999999999 5.29 7.6099999999999985
7056 31.7 55.50999999999999 5.29 7.619999999999999
7080 31.7 55.50999999999999 5.28 7.629999999999999
7104 31.730000000000004 55.50999999999999 5.250000000000001 7.629999999999999
