Day(100.0%OfPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
10728 41.709999999999994 41.0 6.199999999999998 11.27
10752 41.699999999999996 41.0 6.21 11.27
10776 41.699999999999996 41.0 6.199999999999998 11.279999999999998
10800 41.699999999999996 41.0 6.17 11.31
10824 41.699999999999996 41.0 6.15 11.329999999999998
10848 41.699999999999996 41.0 6.15 11.329999999999998
10872 41.699999999999996 40.98 6.159999999999998 11.339999999999998
10896 41.68999999999999 40.99 6.159999999999998 11.339999999999998
10920 41.68999999999999 40.970000000000006 6.17 11.35
10944 41.68999999999999 40.970000000000006 6.139999999999999 11.379999999999999
10968 41.68999999999999 40.970000000000006 6.139999999999999 11.379999999999999
10992 41.68 40.96 6.120000000000001 11.42
11016 41.68 40.96 6.11 11.43
11040 41.68 40.96 6.09 11.450000000000001
11064 41.669999999999995 40.949999999999996 6.080000000000001 11.479999999999999
11088 41.669999999999995 40.919999999999995 6.11 11.479999999999999
11112 41.65 40.919999999999995 6.120000000000001 11.49
11136 41.65 40.9 6.13 11.5
11160 41.63 40.910000000000004 6.139999999999999 11.5
11184 41.63 40.910000000000004 6.139999999999999 11.5
11208 41.63 40.910000000000004 6.139999999999999 11.5
11232 41.620000000000005 40.910000000000004 6.13 11.52
11256 41.620000000000005 40.9 6.11 11.549999999999997
11280 41.620000000000005 40.9 6.09 11.57
11304 41.54 40.93 6.13 11.580000000000002
11328 41.54 40.9 6.160000000000001 11.580000000000002
11352 41.54 40.9 6.140000000000001 11.6
11376 41.54 40.9 6.140000000000001 11.6
11400 41.53000000000001 40.9 6.140000000000001 11.610000000000001
11424 41.53000000000001 40.9 6.119999999999999 11.63
11448 41.53000000000001 40.9 6.11 11.639999999999999
11472 41.52 40.9 6.11 11.65
11496 41.48 40.9 6.15 11.65
11520 41.47 40.89 6.160000000000001 11.66
11544 41.47 40.87 6.179999999999999 11.66
11568 41.47 40.849999999999994 6.1899999999999995 11.67
11592 41.38 40.93 6.17 11.7
11616 41.38 40.9 6.199999999999998 11.7
11640 41.37 40.910000000000004 6.1899999999999995 11.71
11664 41.37 40.910000000000004 6.17 11.73
11688 41.37 40.910000000000004 6.159999999999998 11.739999999999998
11712 41.349999999999994 40.93 6.139999999999999 11.760000000000002
11736 41.349999999999994 40.93 6.139999999999999 11.760000000000002
11760 41.349999999999994 40.92000000000001 6.15 11.760000000000002
11784 41.349999999999994 40.9 6.17 11.760000000000002
11808 41.32999999999999 40.910000000000004 6.17 11.77
11832 41.31999999999999 40.92000000000001 6.15 11.789999999999997
11856 41.31 40.92000000000001 6.15 11.799999999999999
11880 41.31 40.910000000000004 6.160000000000001 11.799999999999999
