Day(6.4%TBDiseaseONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
3864 44.04 41.72 7.180000000000001 7.239999999999999
3888 44.029999999999994 41.72 7.139999999999999 7.290000000000001
3912 44.02 41.699999999999996 7.1 7.359999999999999
3936 43.98 41.690000000000005 7.109999999999999 7.3999999999999995
3960 43.98 41.690000000000005 7.03 7.48
3984 43.970000000000006 41.68 6.989999999999999 7.539999999999999
4008 43.970000000000006 41.68 6.909999999999999 7.619999999999999
4032 43.96 41.669999999999995 6.87 7.68
4056 43.95 41.65 6.839999999999999 7.739999999999999
4080 43.93 41.65 6.789999999999999 7.8100000000000005
4104 43.92 41.64 6.799999999999999 7.819999999999999
4128 43.870000000000005 41.669999999999995 6.789999999999999 7.849999999999999
4152 43.86 41.660000000000004 6.78 7.88
4176 43.86 41.64 6.78 7.899999999999999
4200 43.839999999999996 41.63 6.78 7.93
4224 43.839999999999996 41.63 6.739999999999998 7.969999999999999
4248 43.839999999999996 41.63 6.68 8.03
4272 43.81 41.65 6.65 8.069999999999999
4296 43.81 41.64 6.539999999999998 8.19
4320 43.8 41.61 6.539999999999998 8.229999999999999
4344 43.760000000000005 41.64000000000001 6.510000000000001 8.269999999999998
4368 43.74000000000001 41.65 6.45 8.339999999999998
4392 43.730000000000004 41.660000000000004 6.419999999999999 8.369999999999997
4416 43.730000000000004 41.65 6.41 8.389999999999997
4440 43.7 41.67000000000001 6.41 8.399999999999999
4464 43.7 41.65 6.400000000000001 8.429999999999998
4488 43.69 41.65 6.400000000000001 8.439999999999998
4512 43.69 41.65 6.39 8.449999999999998
4536 43.669999999999995 41.65 6.39 8.469999999999997
4560 43.66 41.65 6.39 8.479999999999997
4584 43.66 41.629999999999995 6.380000000000001 8.509999999999998
4608 43.64 41.64 6.370000000000001 8.529999999999998
4632 43.64 41.64 6.35 8.549999999999997
4656 43.64 41.620000000000005 6.359999999999999 8.559999999999999
4680 43.64 41.620000000000005 6.359999999999999 8.559999999999999
4704 43.620000000000005 41.63 6.359999999999999 8.569999999999997
4728 43.61 41.620000000000005 6.370000000000001 8.579999999999997
4752 43.61 41.58 6.41 8.579999999999997
4776 43.61 41.58 6.399999999999999 8.589999999999998
4800 43.599999999999994 41.57 6.41 8.599999999999998
4824 43.599999999999994 41.57 6.41 8.599999999999998
4848 43.59 41.580000000000005 6.380000000000001 8.629999999999997
4872 43.58 41.559999999999995 6.39 8.649999999999999
4896 43.55 41.589999999999996 6.380000000000001 8.659999999999998
4920 43.54 41.58 6.39 8.669999999999996
4944 43.54 41.58 6.39 8.669999999999996
4968 43.54 41.559999999999995 6.41 8.669999999999996
4992 43.54 41.559999999999995 6.41 8.669999999999996
5016 43.54 41.559999999999995 6.39 8.689999999999998
5040 43.46 41.620000000000005 6.380000000000001 8.719999999999997
5064 43.46 41.61 6.370000000000001 8.739999999999998
5088 43.44 41.61999999999999 6.380000000000001 8.739999999999998
5112 43.419999999999995 41.64 6.35 8.769999999999998
5136 43.419999999999995 41.589999999999996 6.380000000000001 8.789999999999997
5160 43.410000000000004 41.550000000000004 6.41 8.809999999999999
5184 43.38999999999999 41.550000000000004 6.420000000000001 8.819999999999997
5208 43.36000000000001 41.57 6.420000000000001 8.829999999999998
5232 43.33 41.57 6.45 8.829999999999998
5256 43.32000000000001 41.559999999999995 6.45 8.849999999999998
5280 43.32000000000001 41.550000000000004 6.45 8.859999999999998
5304 43.32000000000001 41.53000000000001 6.459999999999999 8.869999999999997
5328 43.28 41.54000000000001 6.49 8.869999999999997
5352 43.28 41.54000000000001 6.4799999999999995 8.879999999999997
5376 43.269999999999996 41.550000000000004 6.459999999999999 8.899999999999999
5400 43.269999999999996 41.54000000000001 6.470000000000001 8.899999999999999
5424 43.25 41.550000000000004 6.470000000000001 8.909999999999998
5448 43.24000000000001 41.56000000000001 6.470000000000001 8.909999999999998
5472 43.24000000000001 41.54 6.49 8.909999999999998
5496 43.24000000000001 41.52 6.49 8.929999999999998
5520 43.230000000000004 41.52 6.480000000000001 8.949999999999998
5544 43.230000000000004 41.51 6.4799999999999995 8.959999999999999
5568 43.21 41.49 6.49 8.989999999999998
5592 43.21 41.49 6.459999999999999 9.019999999999998
5616 43.21 41.48 6.459999999999999 9.029999999999998
5640 43.21 41.48 6.459999999999999 9.029999999999998
5664 43.21 41.47 6.459999999999999 9.039999999999997
5688 43.2 41.449999999999996 6.470000000000001 9.059999999999999
5712 43.14 41.47 6.500000000000002 9.069999999999997
5736 43.11 41.44 6.550000000000001 9.079999999999998
5760 43.11 41.44 6.529999999999999 9.099999999999998
5784 43.07 41.459999999999994 6.550000000000001 9.099999999999998
5808 43.059999999999995 41.459999999999994 6.540000000000001 9.119999999999997
5832 43.059999999999995 41.45 6.550000000000001 9.119999999999997
5856 43.05 41.45 6.550000000000001 9.129999999999997
5880 43.03999999999999 41.44 6.559999999999999 9.139999999999999
5904 43.03999999999999 41.419999999999995 6.559999999999999 9.159999999999998
