Day(90%HIV+Population) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
6576 24.109999999999996 7.339999999999999 3.1000000000000005 65.6
6600 24.1 7.329999999999999 3.0800000000000005 65.63999999999999
6624 24.1 7.269999999999999 3.1099999999999994 65.67
6648 24.1 7.229999999999999 3.1499999999999995 65.67
6672 24.1 7.229999999999999 3.1199999999999997 65.69999999999999
6696 24.1 7.229999999999999 3.1100000000000008 65.71000000000001
6720 24.1 7.229999999999999 3.0400000000000005 65.78
6744 24.1 7.1899999999999995 3.0600000000000005 65.8
6768 24.1 7.1499999999999995 3.0800000000000005 65.82000000000001
6792 24.079999999999995 7.1499999999999995 3.0600000000000005 65.86000000000001
6816 24.079999999999995 7.1499999999999995 3.0100000000000007 65.91
6840 24.06 7.1499999999999995 2.9700000000000006 65.97000000000001
6864 24.05 7.1499999999999995 2.9700000000000006 65.98
6888 24.05 7.12 2.99 65.99000000000001
6912 24.05 7.089999999999999 2.9800000000000004 66.03
6936 24.04 7.089999999999999 2.9700000000000006 66.05000000000001
6960 24.020000000000003 7.089999999999999 2.9700000000000006 66.07000000000001
6984 24.020000000000003 7.08 2.9500000000000006 66.10000000000001
7008 23.990000000000002 7.06 2.93 66.17
7032 23.970000000000002 7.02 2.9500000000000006 66.21
7056 23.970000000000002 7.02 2.9200000000000004 66.24
7080 23.959999999999997 7.02 2.8800000000000003 66.29
7104 23.94 7.01 2.8800000000000003 66.32000000000001
7128 23.94 6.999999999999999 2.8600000000000003 66.35000000000001
7152 23.93 6.97 2.8800000000000003 66.37
7176 23.92 6.939999999999999 2.9000000000000004 66.39
7200 23.900000000000002 6.949999999999999 2.8800000000000003 66.41999999999999
7224 23.889999999999997 6.949999999999999 2.8500000000000005 66.46
7248 23.87 6.949999999999999 2.83 66.5
7272 23.87 6.949999999999999 2.7500000000000004 66.58000000000001
7296 23.87 6.88 2.79 66.61
7320 23.87 6.849999999999999 2.74 66.69
7344 23.86 6.849999999999999 2.73 66.71000000000001
7368 23.85 6.849999999999999 2.7 66.75
7392 23.85 6.849999999999999 2.66 66.78999999999999
7416 23.85 6.839999999999999 2.63 66.83
7440 23.830000000000002 6.77 2.64 66.91
7464 23.810000000000002 6.77 2.59 66.97999999999999
7488 23.810000000000002 6.77 2.56 67.00999999999999
7512 23.810000000000002 6.77 2.53 67.04
7536 23.810000000000002 6.77 2.5100000000000002 67.06
7560 23.760000000000005 6.709999999999999 2.6 67.08000000000001
7584 23.750000000000004 6.689999999999999 2.5600000000000005 67.15
7608 23.740000000000006 6.68 2.56 67.17000000000002
7632 23.740000000000006 6.68 2.56 67.17000000000002
7656 23.73 6.68 2.5 67.24000000000001
7680 23.73 6.67 2.47 67.28
7704 23.720000000000002 6.67 2.4200000000000004 67.34000000000002
7728 23.689999999999998 6.67 2.4 67.39
7752 23.689999999999998 6.67 2.3800000000000003 67.41
7776 23.689999999999998 6.67 2.35 67.44000000000001
7800 23.68 6.67 2.3200000000000003 67.48
7824 23.68 6.649999999999999 2.3200000000000003 67.5
7848 23.68 6.609999999999999 2.34 67.52
7872 23.68 6.609999999999999 2.3200000000000003 67.54
7896 23.61 6.609999999999999 2.3499999999999996 67.58000000000001
7920 23.61 6.609999999999999 2.3099999999999996 67.62
7944 23.61 6.599999999999999 2.3099999999999996 67.63
7968 23.61 6.58 2.29 67.67
7992 23.599999999999998 6.58 2.27 67.7
8016 23.59 6.570000000000001 2.2600000000000002 67.73
8040 23.580000000000002 6.570000000000001 2.2399999999999998 67.76
8064 23.580000000000002 6.570000000000001 2.1999999999999997 67.80000000000001
8088 23.580000000000002 6.560000000000002 2.17 67.84
8112 23.57 6.52 2.18 67.88000000000001
8136 23.56 6.510000000000001 2.17 67.91
8160 23.549999999999997 6.510000000000001 2.16 67.92999999999999
