"Step","Susciptable","Exposed","LatentTB","LatentExposed","InfectedTB","Recovered","Dead"
"302","21670","9979","16833","5294","1035","0","488"
"303","21647","9999","16832","5308","1035","0","488"
"304","21635","10011","16831","5319","1035","0","489"
"305","21617","10029","16831","5327","1035","0","491"
"306","21585","10059","16831","5343","1034","0","492"
"307","21579","10065","16831","5344","1034","0","492"
"308","21570","10074","16831","5350","1034","0","493"
"309","21566","10077","16831","5354","1034","0","496"
"310","21563","10077","16830","5356","1034","0","497"
"311","21562","10078","16830","5357","1034","0","498"
"312","21560","10079","16828","5362","1034","0","500"
"313","21559","10079","16828","5362","1034","0","501"
"314","21556","10079","16827","5362","1034","0","505"
"315","21556","10079","16825","5362","1034","0","507"
"316","21556","10079","16825","5362","1034","0","508"
"317","21553","10079","16824","5362","1034","0","511"
"318","21552","10080","16824","5362","1034","0","513"
"319","21548","10083","16823","5363","1034","0","513"
"320","21530","10101","16823","5372","1034","0","513"
"321","21521","10110","16823","5379","1034","0","515"
"322","21495","10135","16822","5400","1034","0","515"
"323","21464","10163","16821","5415","1034","0","519"
"324","21448","10179","16821","5431","1034","0","519"
"325","21413","10211","16821","5446","1034","0","522"
"326","21392","10232","16821","5449","1034","0","522"
"327","21383","10241","16821","5453","1034","0","527"
"328","21360","10262","16818","5465","1034","0","527"
"329","21339","10283","16817","5477","1035","0","530"
"330","21328","10292","16816","5486","1035","0","531"
"331","21317","10302","16815","5502","1035","0","532"
"332","21310","10309","16814","5505","1035","0","533"
"333","21302","10317","16813","5509","1036","0","535"
"334","21296","10321","16812","5511","1036","0","536"
"335","21294","10322","16810","5511","1036","0","539"
"336","21293","10322","16810","5513","1036","0","540"
"337","21293","10322","16810","5513","1036","0","540"
"338","21291","10323","16809","5513","1037","0","541"
"339","21289","10325","16809","5514","1037","0","543"
"340","21284","10328","16808","5513","1038","0","543"
"341","21283","10329","16808","5513","1038","0","548"
"342","21281","10328","16806","5512","1038","0","548"
"343","21278","10331","16806","5512","1038","0","550"
"344","21259","10348","16806","5525","1038","0","552"
"345","21248","10356","16807","5529","1038","0","552"
"346","21238","10366","16807","5532","1038","0","553"
"347","21193","10407","16809","5556","1038","0","554"
"348","21181","10418","16810","5559","1038","0","554"
"349","21173","10425","16811","5562","1038","0","554"
"350","21155","10443","16811","5573","1038","0","554"
"351","21126","10469","16812","5591","1038","0","556"
"352","21115","10479","16813","5597","1038","0","557"
"353","21099","10494","16812","5603","1039","0","559"
"354","21078","10512","16813","5616","1039","0","561"
"355","21062","10521","16817","5622","1039","0","562"
"356","21059","10524","16817","5621","1039","0","562"
"357","21058","10524","16818","5625","1039","0","562"
"358","21057","10523","16818","5624","1039","0","564"
"359","21057","10523","16817","5626","1040","0","564"
"360","21054","10524","16818","5630","1041","0","564"
"361","21054","10524","16818","5629","1041","0","566"
"362","21051","10526","16816","5633","1041","0","567"
"363","21051","10525","16817","5634","1041","0","570"
"364","21050","10523","16817","5634","1041","0","570"
"365","21049","10523","16818","5633","1041","0","572"
"366","21045","10521","16820","5635","1041","0","574"
