Geometry,Business,Rent Mean,Rent Str,Fam S D,Mat Woo D,Vil Code,Water,Women,Rent Min,Owner,Mat M D,Household,Empty,Tot Units,Busi C,Serv H,Rooms,Fam Up D,Mat Ir D,Elect D,Date,Service,Mat M,Busi P,Elect,Fam C,Mat Br,Pop D,Fam Sp D,No Info,Child D,Fam C D,Serv Edu,Toilet,Pop,Families,Child,Mat Woo,Sheet N,Busi S,Fam P,Women D,Structure,Pop R,Fam Up,Mat Ir,Rent Max,Fam P D,Str Code,Mat Br D,Serv O,Fam S,Fam Sp,latitude,longitude
0,0,900,4500,0.6,0,KIA,0,2,500,0,1,4,0,5,0,0,5,0,0,0.6,80802,0,5,0,3,1,0,2,0.2,1,0.25,0.2,0,0,8,5,2,0,1,0,0,0.25,71,8,0,0,1300,0,KIAS1S71S8,0,0,3,1,-1.308418508,36.77248797
0,0,1500,10500,0.625,0,KIA,1,3,500,0,1,7,0,7,0,0,7,0,0,0.29,80802,0,7,0,2,2,0,2.143,0.125,0,0.333,0.25,0,0,14,8,5,0,1,0,0,0.2,70,15,0,0,2500,0,KIAS1S70S8,0,0,5,1,-1.308460792,36.77243543
0,2,600,1200,0,0,KIA,2,0,600,0,0,0,0,3,1,0,2,0,1,0.67,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,4,0,0,2,600,0,KIAS1S4S0,0,0,0,0,-1.308312158,36.77298896
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308305111,36.77290696
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308339707,36.7729217
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.30838135,36.77293387
0,1,0,0,0,0,KIA,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,0,0,1,0,0,KIAS1S3S0,0,0,0,0,-1.308374943,36.77301908
0,0,1000,1000,0,0,KIA,0,1,2000,0,0,1,0,1,0,0,1,0,1,1,80802,0,0,0,1,0,0,8,1,0,0.875,0,0,0,8,1,7,0,1,0,0,0.125,101,8,0,1,0,0,KIAS1S101S,0,0,0,1,-1.308638255,36.771896
0,0,0,0,0,0,KIA,0,0,0,1,1,1,0,1,0,0,2,1,0,1,80802,0,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,100,1,1,0,0,0,KIAS1S100S,0,0,0,0,-1.308704243,36.77191906
0,0,1000,3000,0.8,0,KIA,0,1,1000,0,0,3,0,3,0,0,3,0,1,0,80802,0,0,0,0,1,0,3,0,0,0.333,0.2,0,0,9,5,3,0,1,0,0,0.111,99,9,0,3,1000,0,KIAS1S99S8,0,0,4,0,-1.308800983,36.77195365
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308697196,36.77204271
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308765224,36.77211062
0,0,650,1950,0.333,0,KIA,0,2,100,1,1,3,0,3,0,0,3,0,0,0.33,80802,0,3,0,1,0,0,3,0.667,0,0.667,0,0,0,9,3,6,0,1,0,0,0.222,86,9,0,0,1200,0,KIAS1S86S8,0,0,1,2,-1.308633771,36.77209012
0,0,650,3900,0.286,0,KIA,0,5,600,0,1,6,0,6,0,0,6,0,0,0.83,80802,0,6,0,5,5,0,3.167,0,0,0.368,0.714,0,0,19,7,7,0,1,0,0,0.263,83,19,0,0,700,0,KIAS1S83S8,0,0,2,0,-1.308605582,36.77215354
0,0,700,2100,0.5,0,KIA,0,1,700,0,1,3,0,3,0,0,3,0,0,0.67,80802,0,3,0,2,1,0,4.667,0,0,0.786,0.5,0,0,14,2,11,0,1,0,0,0.071,81,14,0,0,700,0,KIAS1S81S8,0,0,1,0,-1.308550485,36.77220287
0,0,650,7150,0.4,0,KIA,0,7,500,0,1,11,0,11,0,0,11,0.067,0,0.18,80802,0,11,0,2,4,0,3.818,0.267,0,0.548,0.267,0,0,41,15,23,0,1,0,0,0.167,67,42,1,0,800,0,KIAS1S67S8,0,0,6,4,-1.308573548,36.77239699
0,0,900,5400,0.5,0,KIA,0,6,600,0,1,6,0,6,0,0,6,0.167,0,0.67,80802,0,6,0,4,2,0,3.833,0.167,0,0.391,0.167,0,0,21,12,9,0,1,0,0,0.261,65,23,2,0,1200,0,KIAS1S65S8,0,0,6,2,-1.308675414,36.77235663
0,0,900,4500,0.25,0,KIA,0,3,800,0,1,4,0,4,0,0,5,0,0,0,80802,0,4,0,0,2,0,3.75,0.25,0,0.6,0.5,0,0,15,4,9,0,1,0,0,0.2,107,15,0,0,1000,0,KIAS1S107S,0,0,1,1,-1.308713853,36.77216507
0,0,1250,11250,0.6,0,KIA,0,5,1000,3,0.333,9,0,10,0,0,9,0.1,0.667,0.2,80801,0,3,0,2,3,0,1.889,0,1,0.235,0.3,0,0,16,10,4,0,1,0,0,0.294,60,17,1,6,1500,0,KIAS1S60S8,0,0,6,0,-1.308832376,36.77220277
0,0,1650,13200,0.333,0,KIA,0,3,1500,0,1,8,0,8,0,0,8,0,0,0.88,80801,0,8,0,7,4,0,2.375,0.222,0,0.316,0.444,0,3,18,9,6,0,1,0,0,0.158,59,19,0,0,1800,0,KIAS1S59S8,0,0,3,2,-1.308891797,36.77213304
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308837545,36.77206321
0,2,4500,18000,0,0,KIA,0,0,4500,0,0,0,0,5,0,0,4,0,1,0.6,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,2,0,0,4,4500,0,KIAS1S2S0,0,0,0,0,-1.308525641,36.77303218
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308546783,36.77287458
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308432745,36.77277656
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308364194,36.77284062
0,0,850,6800,0.8,0,KIA,1,11,700,0,1,7,1,8,0,0,8,0,0,0,80730,0,8,0,0,3,0,3,0,0,0.143,0.2,0,0,21,15,3,0,1,0,0,0.524,34,21,0,0,1000,0,KIAS1S34S8,0,0,12,0,-1.30852681,36.77267745
0,0,1250,6250,0.571,0,KIA,0,5,1000,0,1,5,0,5,0,0,5,0,0,0,80730,0,5,0,0,3,0,3.4,0,0,0.412,0.429,0,0,17,7,7,0,1,0,0,0.294,33,17,0,0,1500,0,KIAS1S33S8,0,0,4,0,-1.308512827,36.77274196
0,0,1400,4200,0,0.4,KIA,0,3,1200,0,0.2,3,0,3,0,0,3,0,0.4,1,80730,0,1,0,3,3,0,3.667,0,0,0.455,1,0,0,11,3,5,2,1,0,0,0.273,35,11,0,2,1600,0,KIAS1S35S8,0,0,0,0,-1.308601239,36.77269327
0,0,0,0,0,0,KIA,0,0,0,0,0,1,0,2,0,0,0,0,0,0,80730,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,36,0,0,0,0,0,KIAS1S36S8,0,0,0,0,-1.308561812,36.77263239
0,0,1500,4500,0.714,0,KIA,0,3,1500,0,1,3,0,3,0,0,3,0.143,0,1,80802,0,3,0,3,0,0,2.667,0.143,0,0.125,0,0,0,7,7,1,0,1,0,0,0.375,72,8,1,0,1500,0,KIAS1S72S8,0,0,5,1,-1.308510905,36.77255104
0,0,750,4500,0.333,0,KIA,0,4,500,0,1,5,0,5,0,0,6,0,0,0.8,80802,0,5,0,4,4,0,3,0,0,0.333,0.667,0,0,15,6,5,0,1,0,0,0.267,69,15,0,0,1000,0,KIAS1S69S8,0,0,2,0,-1.30855383,36.77250171
0,0,800,800,1,0,KIA,0,1,800,0,1,1,0,1,0,0,1,0,0,0,80801,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,45,1,0,0,800,0,KIAS1S45S8,0,0,1,0,-1.308621309,36.77251251
0,0,700,1400,0.5,0,KIA,0,0,700,1,0,2,0,2,0,0,2,0.5,1,0,80801,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,0,0,1,0,0,0,44,4,2,2,700,0,KIAS1S44S8,0,0,2,0,-1.308664024,36.77250428
0,0,500,6500,0.357,0,KIA,0,3,500,0,1,10,0,10,0,0,13,0.214,0,0.1,80730,0,10,0,1,4,0,3.1,0.143,0,0.419,0.286,0,0,27,14,13,0,1,0,0,0.097,37,31,3,0,500,0,KIAS1S37S8,0,0,5,2,-1.308707589,36.77274709
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308711433,36.77285472
